iter	Passed	Remaining
634	2979	1712
635	2985	1708
636	2989	1703
637	2996	1700
638	3001	1695
639	3007	1691
640	3013	1687
641	3019	1683
642	3025	1679
643	3031	1675
644	3037	1671
645	3042	1667
646	3048	1663
647	3053	1658
648	3059	1654
649	3064	1650
650	3069	1645
651	3074	1641
652	3080	1636
653	3085	1632
654	3090	1627
655	3095	1623
656	3101	1619
657	3106	1614
658	3111	1610
659	3116	1605
660	3121	1601
661	3126	1596
662	3131	1591
663	3135	1586
664	3140	1582
665	3145	1577
666	3150	1572
667	3155	1568
668	3160	1563
669	3165	1558
670	3170	1554
671	3174	1549
672	3179	1544
673	3184	1540
674	3188	1535
675	3193	1530
676	3197	1525
677	3202	1521
678	3208	1516
679	3213	1512
680	3218	1507
681	3223	1503
682	3228	1498
683	3233	1493
684	3238	1489
685	3243	1484
686	3247	1479
687	3253	1475
688	3258	1470
689	3263	1466
690	3269	1462
691	3274	1457
692	3278	1452
693	3284	1448
694	3289	1443
695	3294	1438
696	3299	1434
697	3305	1429
698	3310	1425
699	3315	1421
700	3320	1416
701	3324	1411
702	3329	1406
703	3334	1402
704	3340	1397
705	3345	1393
706	3351	1389
707	3356	1384
708	3362	1379
709	3367	1375
710	3371	1370
711	3375	1365
712	3381	1361
713	3386	1356
714	3390	1351
715	3396	1347
716	3401	1342
717	3405	1337
718	3410	1332
719	3416	1328
720	3421	1324
721	3427	1319
722	3432	1315
723	3437	1310
724	3443	1305
725	3447	1301
726	3452	1296
727	3457	1291
728	3462	1287
729	3467	1282
730	3472	1277
731	3477	1273
732	3482	1268
733	3487	1263
734	3492	1259
735	3497	1254
736	3501	1249
737	3506	1245
738	3511	1240
739	3516	1235
740	3522	1231
741	3527	1226
742	3532	1221
743	3537	1217
744	3543	1212
745	3548	1208
746	3553	1203
747	3559	1199
748	3564	1194
749	3569	1189
750	3574	1185
751	3579	1180
752	3584	1175
753	3590	1171
754	3595	1166
755	3600	1162
756	3606	1157
757	3611	1153
758	3616	1148
759	3622	1143
760	3627	1139
761	3632	1134
762	3637	1129
763	3642	1125
764	3647	1120
765	3653	1116
766	3658	1111
767	3663	1106
768	3669	1102
769	3675	1097
770	3680	1093
771	3686	1088
772	3691	1084
773	3696	1079
774	3702	1074
775	3706	1070
776	3711	1065
777	3717	1060
778	3722	1056
779	3728	1051
780	3734	1047
781	3740	1042
782	3745	1038
783	3751	1033
784	3756	1028
785	3761	1024
786	3768	1019
787	3773	1015
788	3779	1010
789	3784	1006
790	3789	1001
791	3795	996
792	3802	992
793	3808	987
794	3813	983
795	3818	978
796	3824	974
797	3829	969
798	3834	964
799	3839	959
800	3845	955
801	3850	950
802	3856	946
803	3861	941
804	3866	936
805	3871	931
806	3876	927
807	3881	922
808	3886	917
809	3892	913
810	3897	908
811	3902	903
812	3908	899
813	3913	894
814	3918	889
815	3924	885
816	3929	880
817	3935	875
818	3942	871
819	3948	866
820	3956	862
821	3962	857
822	3966	853
823	3973	848
824	3978	843
825	3983	839
826	3989	834
827	3995	829
828	4001	825
829	4007	820
830	4012	815
831	4018	811
832	4022	806
833	4028	801
834	4033	797
835	4038	792
836	4043	787
837	4049	782
838	4054	778
839	4059	773
840	4064	768
841	4070	763
842	4075	758
843	4080	754
844	4085	749
845	4090	744
846	4095	739
847	4100	735
848	4105	730
849	4110	725
850	4115	720
851	4120	715
852	4125	711
853	4130	706
854	4136	701
855	4141	696
856	4146	691
857	4151	687
858	4157	682
859	4164	677
860	4169	673
861	4175	668
862	4181	663
863	4186	658
864	4191	654
865	4197	649
866	4202	644
867	4207	639
868	4212	635
869	4217	630
870	4223	625
871	4229	620
872	4234	615
873	4238	611
874	4244	606
875	4249	601
876	4253	596
877	4259	591
878	4265	587
879	4269	582
880	4274	577
881	4280	572
882	4285	567
883	4290	562
884	4295	558
885	4299	553
886	4303	548
887	4309	543
888	4313	538
889	4317	533
890	4322	528
891	4328	524
892	4332	519
893	4336	514
894	4341	509
895	4345	504
896	4349	499
897	4354	494
898	4358	489
899	4362	484
900	4367	479
901	4371	474
902	4376	470
903	4380	465
904	4385	460
905	4389	455
906	4392	450
907	4396	445
908	4400	440
909	4404	435
910	4409	430
911	4413	425
912	4417	420
913	4421	416
914	4425	411
915	4429	406
916	4438	401
917	4445	397
918	4455	392
919	4464	388
920	4470	383
921	4475	378
922	4483	374
923	4490	369
924	4494	364
925	4499	359
926	4504	354
927	4508	349
928	4512	344
929	4517	340
930	4522	335
931	4526	330
932	4531	325
933	4536	320
934	4541	315
935	4545	310
936	4551	305
937	4555	301
938	4559	296
939	4565	291
940	4569	286
941	4573	281
942	4578	276
943	4583	271
944	4587	267
945	4591	262
946	4597	257
947	4601	252
948	4605	247
949	4612	242
950	4617	237
951	4621	233
952	4626	228
953	4632	223
954	4636	218
955	4641	213
956	4646	208
957	4651	203
958	4655	199
959	4661	194
960	4665	189
961	4670	184
962	4675	179
963	4680	174
964	4684	169
965	4689	165
966	4694	160
967	4698	155
968	4702	150
969	4707	145
970	4712	140
971	4716	135
972	4721	131
973	4726	126
974	4730	121
975	4735	116
976	4740	111
977	4744	106
978	4748	101
979	4752	96
980	4757	92
981	4761	87
982	4765	82
983	4770	77
984	4775	72
985	4779	67
986	4783	63
987	4788	58
988	4792	53
989	4796	48
990	4800	43
991	4804	38
992	4808	33
993	4812	29
994	4816	24
995	4820	19
996	4824	14
997	4828	9
998	4832	4
999	4836	0
